Domenico CERAVOLO,915
Alejandro CERCAS,4337
Sara CERDAS,197641
Carmen CERDEIRA MORTERERO,4329
José Emilio CERVERA CARDONA,1810
Giovanni CERVETTI,1811
Lorenzo CESA,28451
Luigi CESARO,4563
Andrea ČEŠKOVÁ,96719
Ozan CEYHUN,2337
Pierre M.A. CEYRAC,1161
Catherine CHABAUD,197505
Henry CHABERT,1162
Dominique CHABOCHE,1752
Mohammed CHAHIM,197782
Leila CHAIBI,197529
Robert CHAMBEIRON,1723
Raphaël M.G. CHANTERIE,1471
Dita CHARANZOVÁ,124708
Olivier CHASTEL,197463
Jorgo CHATZIMARKAKIS,28243
Aymeric CHAUPRADE,124752
Mladen Petrov CHERVENYAKOV,37525
Raymond CHESA,1877
Claude CHEYSSON,1163
Mauro CHIABRANDO,1014
Giles CHICHESTER,2097
Giulietto CHIESA,28973
Nessa CHILDERS,96603
Roger CHINAUD,1807
Caterina CHINNICI,124861
Jacques CHIRAC,916
Călin Cătălin CHIRIȚĂ,95018
Vittorino CHIUSANO,1808
Zdzisław Kazimierz CHMIELEWSKI,28274
Louis CHOPIER,1805
Nikolaos CHOUNTIS,26851
Nicole CHOURAQUI,1774
Ellie CHOWNS,197714
Asger CHRISTENSEN,197558
Frode Nør CHRISTENSEN,1276
Ib CHRISTENSEN,1048
Ole CHRISTENSEN,28154
Ejner Hovgård CHRISTIANSEN,1144
Doros CHRISTODOULIDIS,23728
Efthymios CHRISTODOULOU,1464
Lefteris CHRISTOFOROU,26837
Christina CHRISTOVA,34248
Andrzej CHRONOWSKI,23879
Sylwester CHRUSZCZ,28325
Nikos CHRYSOGELOS,111823
Kostas CHRYSOGONOS,125061
Zbigniew CHRZANOWSKI,23800
Desislav CHUKOLOV,38603
Michelangelo CIANCAGLINI,1753
Fabio CIANI,41005
Danuta CIBOROWSKA,23758
Roberto CICCIOMESSERE,1806
Salvatore CICU,124854
Grażyna  Jolanta CIEMNIAK,23759
Boriss CILEVIČS,23855
Włodzimierz CIMOSZEWICZ,197507
Maria Lisa CINCIARI RODANO,1705
Gaetano CINGARI,907
Angelo CIOCCA,183793
Dacian CIOLOS,197631
Silvia CIORNEI,33995
Adrian-Mihai CIOROIANU,33996
Paolo CIRINO POMICINO,28978
Alberto CIRIO,124772
Tudor CIUHODARU,197657
Miroslav ČÍŽ,197761
Philip CLAEYS,24030
Derek Roland CLARK,28493
Nicholas CLEGG,4518
Jean-José CLEMENT,908
Mark CLINTON,1725
Minodora CLIVETI,113597
Deirdre CLUNE,124988
Frank CLUSKEY,909
Ann CLWYD,901
Kenneth COATES,1322
David COBURN,124967
Yves COCHET,1202
Luigi COCILOVO,4470
José CODERCH PLANAS,1804
Carlos COELHO,1892
Sergio Gaetano COFFERATI,96915
Robert COHEN,1722
Daniel COHN-BENDIT,1934
António Antero COIMBRA MARTINS,1373
Luigi Alberto COLAJANNI,1137
Nathalie COLIN-OESTERLÉ,197536
Juan Luis COLINO SALAMANCA,1348
Marcel G.B. COLLA,910
Gilbert COLLARD,197683
Arnaldo COLLESELLI,911
Ombretta COLLI,2195
Birgit COLLIN-LANGEN,112788
Giovanni COLLINO,97195
Michel COLLINOT,1801
Jane COLLINS,124955
Gerard COLLINS,2106
Kenneth D. COLLINS,1418
Francisque COLLOMB,905
Trevor COLMAN,94283
Jacques COLOMBIER,191510
Emilio COLOMBO,968
Maria Paola COLOMBO SVEVO,2051
Joan COLOM i NAVAL,1349
Michele COLUMBU,1799
Francis COMBE,902
Lara COMI,96775
Therese COMODINI CACHIA,124968
Francesco COMPASSO,1800
Renée CONAN,1835
Fernando CONDESSO,1719
Rosanna CONTE,197616
Felice CONTU,1086
Patrick Mark COONEY,1286
Maurits P.-A. COPPIETERS,903
Maria Teresa COPPO GAVAZZI,1879
Anna Maria CORAZZA BILDT,96674
Richard CORBETT,2309
Dorette CORBEY,4558
Giovanna CORDA,39023
Titus CORLĂȚEAN,33968
Francesco CORLEONE,996
David CORMAND,197503
Petrus A.M. CORNELISSEN,1452
Marije CORNELISSEN,96726
Thierry CORNILLET,4338
Ignazio CORRAO,124856
María Auxiliadora CORREA ZAMORA,111496
António Fernando CORREIA DE CAMPOS,96975
Fausto CORREIA,28309
Quinídio CORREIA,2274
John Alexander CORRIE,357
Massimo CORSARO,21815
Ricardo CORTÉS LASTRA,96987
Dumitru Gheorghe Mircea COȘEA,33976
Francesco COSENTINO,904
Armando COSSUTTA,4401
António COSTA,28303
Paolo COSTA,4747
Raffaele COSTA,4392
Silvia COSTA,96917
Carlos COSTA NEVES,2158
Roberto COSTANZO,1720
Alfred COSTE-FLORET,1798
Emer COSTELLO,112071
Jean-Pierre COT,1027
Jean Louis COTTIGNY,2315
Richard J. COTTRELL,1721
John de COURCY LING,1713
Javier COUSO PERMUY,125997
Pierre-Bernard COUSTÉ,897
Paul Marie COÛTEAUX,4383
Yannis COUTSOCHERAS,899
Simon COVENEY,28118
Pat COX,1287
Andrea COZZOLINO,96880
Michael CRAMER,28238
Birgit CRAMON DAIBER,1060
Peter Duncan CRAMPTON,1323
João CRAVINHO,980
Baroness Christine M. CRAWLEY,1367
Bettino CRAXI,1118
Jan CREMERS,40818
Irene CREPAZ,2049
Rodolfo CRESPO,1745
Edith CRESSON,870
Corina CREȚU,33997
Gabriela CREȚU,33977
Jürgen CREUTZMANN,96873
Andi CRISTEA,40224
Rosario CROCETTA,96886
Tarja CRONBERG,107973
Jerry (Jeremiah) CRONIN,898
Lambert V.J. CROUX,1714
Brian CROWLEY,2109
Jean E. CRUSOL,1796
